"id","name_tc","description_tc","slug","series_last_rows","series_names"
"33971","美國-玉米供給量","美國為全球主要玉米生產國與出口國，其產量的變化牽動全球玉米價格，容易影響行情走勢。

美國玉米可分為 3 階段：

1. 出苗（Emerged）及出絲（Silking）：玉米出苗約在 4 月底至 6 月中，出絲在 6 月中至 8 月底。玉米同黃豆屬於喜溫植物，因此苗期的溫度不能太低。而出絲是玉米最關鍵的時期，影響後期的產量，過程中不能出現乾旱，且溫度不能過高，否則將出現壞損。

2. 乳熟（Dough）及凹損（Dent）：此階段時間約在 7 月底至 9 月底。玉米成熟期分為乳熟、蠟熟、完熟，在乳熟期穀粒中帶有一些濃稠或類似麵團物質的凹損（或稱凹痕），而隨著時間推移，凹損率會越來越高。此階段留意溫度，若出現霜凍情況，將大幅降低產量，甚至造成一半以上的損失。

3. 成熟（Mature）及收成（Harvested）：從成熟到收割，大約在 8 月底至 11 月底。成熟期產量確定，市場轉向預期南美玉米種植狀況。","us-corn-supply","[[[""2024-01-01"",11.038265359449797],[""2025-01-01"",-0.4421811130538781]],[[""2024-01-01"",""424.9390""],[""2025-01-01"",""423.0600""]]]","[""美國-玉米年供給量(L)"", ""美國-玉米年供給量(R,年增率)""]"
"33973","歐美-ZEW經濟指數差vs.歐美股市","歐洲 STOXX 600 指數與美國 S&P 500 指數比值大於零，代表歐洲股市年報酬優於美股，反之亦然。

歐元區與美國 ZEW 經濟景氣指數差 = 歐元區 ZEW 經濟景氣指數 - 美國 ZEW 經濟景氣指數，圖中數據再經過年變動的換算。當該數值大於零，代表根據 ZEW 調查結果，歐元區經濟展望較美國佳，反之亦然。
","spread-eurozone-us","[[[""2025-02-16"",-3.9349018344600113],[""2025-02-23"",-1.5269086108677745]],[[""2024-12-01"",-35.4],[""2025-01-01"",-22]]]","[""歐洲STOXX 600指數與美國S&P 500指數比值(年增率,L)"", ""歐美-ZEW經濟景氣指數差(年變動,R)""]"
"34054","美國-油井鑽探 / 完成比例",,"us-wells-drilled","[[[""2025-01-01"",0.9956850053937433],[""2025-02-01"",1.0086299892125135]]]","[""美國-鑽油井鑽探數量 ÷ 美國-鑽油井完成數量""]"
"34072","美國-汽車相關物價指數","美國 CPI 權重新車及二手車銷售佔比約 7 ~ 8%，由於汽車為美國大宗耐久財消費商品，且權重佔比不低，可以作為觀察通膨預期的重要項目。

而 PCE 由於是從美國經濟分析局（BEA）公佈的國民收入和產品帳戶（NIPA）去調查，涵蓋民眾所有類型的消費，包括不由家庭自行支付的消費，例如雇主提供給員工並代付的醫療保險費用，所以汽車相關項目的權重較低。

Manheim 二手車價值指數由 Cox Automotive 旗下的汽車拍賣公司 Manheim 所編製，主要追蹤 Manheim 平台上汽車經銷商的二手車（除重型卡車、摩托車）拍賣的成交價，可視為汽車經銷商面對的二手車成本，該指數約領先消費者物價指數二手車項目 1 ~ 2 季。","us-motor-vehicles-price-index","[[[""2024-12-01"",-0.4203507754747013],[""2025-01-01"",-0.32910700440111085]],[[""2024-12-01"",-4.787742037046752],[""2025-01-01"",1.0341858919172193]],[[""2024-12-01"",0.3859419469182665],[""2025-01-01"",0.7769364600945958]],[[""2024-11-01"",""-1.3600""],[""2024-12-01"",""-0.9200""]]]","[""消費者物價指數-新車銷售(年增率)"", ""消費者物價指數-二手車(年增率)"", ""Manheim二手車價值指數(年增率)"", ""個人消費支出物價指數[PCE]-汽車相關(年增率)""]"
"34190","美國-鑽油井數量vs.裂壓分佈計數","由能源諮詢公司 Primary Vision 所提供的「壓裂分佈計數」（Frac Spread Count），衡量全美有多少工作人員正在鑽油井進行水力壓裂頁岩的準備工作，可作為鑽油井數量的同時指標，以及原油產量的先行指標。","us-oil-rig-count-vs-frac-crew-spread-count","[[[""2025-03-21"",""486.0000""],[""2025-03-28"",""484.0000""]],[[""2025-03-21"",""215.0000""],[""2025-03-28"",""209.0000""]]]","[""美國-原油鑽油井數量(L)"", ""美國-壓裂分佈計數(R)""]"
"34191","美國-DUC庫存井數量/鑽油井數量",,,"[[[""2025-03-27"",""69.9200""],[""2025-03-28"",""69.3600""]],[[""2025-01-01"",11.041405269761606],[""2025-02-01"",10.929198966408268]]]","[""NYMEX-WTI西德州原油期貨 (L)"", ""美國-DUC鑽油井數量/鑽油井數量 (R)""]"
"34339","美國-財政部帳戶餘額[TGA]","TGA（Treasury General Account）帳戶為美國財政部的主要支付帳戶，帳戶餘額受稅收及各類政府支出 ( 如社福金、政府員工薪資及公債付息等 ) 所影響。","us-treasury-general-account","[[[""2025-04-24"",""562759.0000""],[""2025-04-25"",""571691.0000""]]]","[""美國-財政部帳戶餘額[TGA](日)""]"
"34353","ICE-碳排放權(EUA)期貨價格","交易所 ：美國洲際交易所 ( Intercontiental Exchange, ICE )
報價單位 ：歐元 / 噸
契約規格 ：1000 「歐盟排放權配額」（EU Allowances, EUAs），1 單位的 EUA 等於可以排放 1 公噸的 CO2 當量（one tonne of CO2 equivalent, tCO2e）

歐盟從 2005 年開始推行「排放交易機制」（European Emission Trading Scheme, EU ETS），採取「限額與交易」（cap-and-trade）制度，由歐盟制定溫室氣體排放總量，核發給會員國的碳排放許可稱之為「允許排放額度」（allowance）。企業可以出售自身沒有用完的額度，或是購買額外配額來進行排放。

除了現貨交易以外，全球有四個主要的交易平台上架相關期貨合約，分別是洲際交易所（ICE）、歐洲能源交易所（European Energy Exchange，EEX）、紐約商品期貨交易所（NYMEX）、那斯達克 OMX 集團（NASDAQ OMX）。","ice-eua-futures","[[[""2024-11-08"",""68.0200""],[""2024-11-11"",""67.5700""]],[[""2024-11-07"",""32.5600""],[""2024-11-08"",""32.8200""]]]","[""ICE-碳排放權期貨價格[EUA]"", ""KraneShares-全球碳ETF[KRBN]-還原價格""]"
"34394","美國-聯準會隔夜逆回購交易量(ON RRP)","聯邦公開市場委員會（FOMC）在 2013 年 9 月推出隔夜逆回購（Overnight Reverse Repurchase Agreement, ON RRP），並在 2014 年 9 月將其視為輔助貨幣政策工具，其運作方式是聯準會將債券出售給交易對手（交易商、貨幣市場基金、政府贊助機構及存款機構）吸納短端過剩的流動性，並在在第二天回購該債券，此目的是避免短端利率跌破聯邦目標利率區間下限。

註：逆回購也稱為附賣回、反向附買回。","us-fed-onrrp-trading-flow","[[[""2025-04-24"",""130.0040""],[""2025-04-25"",""94.0210""]]]","[""美國-聯準會隔夜逆回購操作(ON RRP)""]"
"34417","加密貨幣-恐懼貪婪指數","加密貨幣恐懼貪婪指數可用來觀察市場的投資情緒，其依據加密貨幣價格衍伸指標、社群媒體關鍵字、比特幣佔比比例和 Google 搜尋量四個面向，並依照不同權重所建構而成。

觀察該指標過去與比特幣價格走勢可以發現，該指標可以作為趨勢反轉的觀察指標。每當指標位於高檔顯示市場相對貪婪，後續可能出現高點反轉跡象；而當該指標位於低檔則顯示市場相對恐慌，有利後續出現落底止穩的狀況。","crypto-fear-greed-index","[[[""2025-04-28"",60.6],[""2025-04-29"",60]],[[""2025-04-28"",""94978.7525""],[""2025-04-29"",""94069.9800""]]]","[""加密貨幣-恐懼貪婪指數(L)"", ""比特幣/美元(R)""]"
"34538","美元指數vs.S&P高盛商品指數/S&P 500","由於全球主要原物料商品皆以美元計價，因此兩者通常呈反向連動關係。當美元走貶時：

1. 原物料進口國的實質購買力上升，提升需求。
2. 市場風險趨避程度降低，資金轉向股市、新興市場、原物料等風險性資產。

綜上所述，弱勢美元是原物料相對股市價值（S&P 高盛商品指數 - 總報酬指數 / S&P 500）長線走多的關鍵，反之亦然。","us-dollar-index-vs-sp-gsci-index-divided-by-sp500","[[[""2025-04-07"",0.6866234381944788],[""2025-04-08"",0.6903248996040354]],[[""2025-04-08"",""102.9550""],[""2025-04-09"",""101.8800""]]]","[""S&P高盛商品指數-總報酬指數/S&P 500(L)"", ""美元指數(R)""]"
"34734","台灣-外銷訂單動向指數-產業","此圖為台灣各出口產業對於下個月外銷接單情況的看法， 台灣外銷主要以電子和資訊通信產品為主。

指標計算如下：
以接單金額計之動向指數 = 預期接單金額增加之比率 + 0.5 * 預期接單金額持平之比率。","taiwan-export-order-trend-index-industry","[[[""2025-02-01"",""52.9600""],[""2025-03-01"",""49.5200""]],[[""2025-02-01"",""54.4500""],[""2025-03-01"",""48.4400""]],[[""2025-02-01"",""53.6000""],[""2025-03-01"",""44.4700""]],[[""2025-02-01"",""54.7100""],[""2025-03-01"",""44.6500""]],[[""2025-02-01"",""56.1200""],[""2025-03-01"",""49.1200""]],[[""2025-02-01"",""52.1700""],[""2025-03-01"",""48.3900""]],[[""2025-02-01"",""51.0000""],[""2025-03-01"",""44.6800""]],[[""2025-02-01"",""55.7400""],[""2025-03-01"",""41.7600""]]]","[""資訊通信"", ""電子產品"", ""光學器材"", ""基本金屬"", ""塑橡膠"", ""化學品"", ""機械"", ""電機""]"
"34735","台灣-外銷訂單動向指數(以金額計, 12MMA)","外銷訂單動向指數是根據外銷訂單受查廠商對下個月份的接單看法所構成的指數， 可作為外銷訂單的領先指標， 動向指數介於 0 與 100 之間， 小於 50 代表預期下滑， 50 代表中性持平， 大於 50 代表預期成長。

由於台灣出口主要以電子和資訊通信產品為主，此指標容易受電子產品淡旺季影響。

指標計算如下：
以接單金額計之動向指數 = 預期接單金額增加之比率 + 0.5 * 預期接單金額持平之比率。
","taiwan-export-order-trend-index","[[[""2025-02-01"",50.36833333333334],[""2025-03-01"",50.1825]]]","[""台灣-外銷訂單動向指數(以金額計, 12MMA)""]"
"34738","台股-現股當沖比重","現股當沖比重可用來觀察短線台股的籌碼情況， 當沖比重過高時， 代表短線籌碼散亂， 行情易有較大波動

計算公式如下：
現股當沖買進比重 = 當日沖銷交易總買進成交金額／(整體市場買進+賣出成交金額) ÷ 2 * 100
現股當沖賣出比重 = 當日沖銷交易總賣出成交金額／(整體市場買進+賣出成交金額)÷2* 100
現股當沖總交易比重 = 當日沖銷交易總買賣金額／(整體市場買進+賣出成交金額)÷2* 100","taiwan-daily-trading-ratio","[[[""2025-01-17"",""20.1400""],[""2025-01-20"",""18.5900""]],[[""2025-01-17"",""40.8300""],[""2025-01-20"",""37.5000""]],[[""2025-01-17"",""40.9000""],[""2025-01-20"",""37.6100""]],[[""2025-01-20"",""23266.8203""],[""2025-01-21"",""23307.5195""]]]","[""現股當沖總交易比重(R)"", ""現股當沖買進比重(R)"", ""現股當沖賣出比重(R)"", ""台灣加權指數(L)""]"
"34942","東南亞-每日新增確診人數","2020 年年初，隨著新冠肺炎在全球各地爆發，新增確診人數大量增加，而各國首要目標就是控制新增確診人數，若新增確診人數有所趨緩甚至下滑，則表示疫情相對受到控制，反之亦然。 ","asean-covid-newcases","[[[""2024-04-11"",""0.0000""],[""2024-04-12"",""0.0000""]],[[""2024-04-11"",""0.0000""],[""2024-04-12"",""0.0000""]],[[""2024-04-11"",""0.0000""],[""2024-04-12"",""0.0000""]],[[""2024-04-11"",""0.0000""],[""2024-04-12"",""0.0000""]],[[""2024-04-11"",""0.0000""],[""2024-04-12"",""0.0000""]]]","[""越南"", ""馬來西亞"", ""菲律賓"", ""印尼"", ""泰國""]"
"34996","越南-出口","越南出口佔 GDP 比重 95%，進口佔 GDP 比重約 90%，因此貿易狀況對越南經濟有很大的影響。","vietnam-exports","[[[""2025-02-01"",""31109.3000""],[""2025-03-01"",""38509.8000""]],[[""2025-02-01"",26.023074367844952],[""2025-03-01"",14.410918857251529]]]","[""越南-出口總額(L)"", ""越南-出口總額(年增率, R)""]"
"35044","美國-商銀整體信貸違約率vs.公司債總報酬指數","聯準會每季針對大型商業銀行進行統計調查的貸款違約率，銀行授信的違約率一定程度也反映整體債務償還的能力，可視為公司債違約的指標之一。","us-corporate-bond-total-return-index","[[[""2024-07-01"",""1.5200""],[""2024-10-01"",""1.6200""]],[[""2025-04-23"",""3362.0400""],[""2025-04-24"",""3381.1800""]],[[""2025-04-23"",""1729.4300""],[""2025-04-24"",""1733.8300""]]]","[""美國-商銀整體信貸違約率(L)"", ""美國-美林投資等級指數總報酬指數(R)"", ""美國-美林高收益指數總報酬指數(R)""]"
"35154","德國-就業人數(德國統計局)","德國統計局每月會公佈就業人數，與歐盟的勞動力調查（Labor Force Survey）定義方式不同，主要差別在於德國統計局採用「勞工住所」（place of residence）計算，勞動力調查則以「工作地點」（place of work）。該數據提供德國新增就業的狀況，可用以掌握德國勞動市場的發展。
","germany-employment","[[[""2024-08-01"",""45900.0000""],[""2024-09-01"",""45882.0000""]]]","[""德國-就業人數(月變動,L)"", ""德國-就業人數(R)""]"
"35179","全球-主要半導體公司-存貨週轉天數","存貨天數（Days sales of inventory），又稱存貨週轉天數，為企業在購入存貨後，經過生產並將產品做銷售後的時間。由於半導體業從接單到出貨有較長的前置時間（lead time），因此上游的 IC 設計廠會提前預訂訂單，而當後續的訂單不如預期時（市場需求不足）就會產能過剩，產生庫存循環。可以透過庫存天數觀察半導體業的庫存循環，但其主要以「企業」角度做觀察，仍需搭配其他指標判斷半導體的需求狀況。

存貨天數 = 365 * ( 平均存貨 / 銷貨成本 )

1. 被動去庫存：復甦初期需求逐漸回溫，廠商並無積極增加庫存，導致庫存天數下降。
2. 主動加庫存：需求加速回溫，廠商看好景氣，積極加庫存，導致庫存天數上升。
3. 被動加庫存：需求放緩下導致庫存被動增加，庫存天數上升。
4. 主動去庫存：需求加速回落，廠商看壞景氣，積極去庫存，庫存天數下降。

半導體上游的 IC 設計廠，例如聯發科、高通、 Broadcom 等。
半導體中游的晶圓代工廠，例如台積電等。
半導體下游終端品牌廠，應用以消費性電子產品為主，例如 SK 海力士、美光、 NVIDIA 、 AMD 等。
半導體下游的終端品牌廠，應用以車用、工業為主，例如德儀、英飛凌、意法半導體、恩智浦等。","worldwide-semiconductor-companys-days-sales-of-inventory","[[[""2024-07-01"",""72.8455""],[""2024-10-01"",""72.2418""]],[[""2024-07-01"",""133.0557""],[""2024-10-01"",""117.6313""]],[[""2024-07-01"",""48.3760""],[""2024-10-01"",""50.4308""]],[[""2024-10-01"",""73.3926""],[""2025-01-01"",""75.6278""]],[[""2024-10-01"",""92.5954""],[""2025-01-01"",""139.7735""]],[[""2024-07-01"",""143.0542""],[""2024-10-01"",""127.6462""]],[[""2024-10-01"",""147.5658""],[""2025-01-01"",""156.5894""]],[[""2024-07-01"",""72.2390""],[""2024-10-01"",""75.2291""]],[[""2024-07-01"",""147.2766""],[""2024-10-01"",""141.8445""]],[[""2024-10-01"",""234.5157""],[""2025-01-01"",""236.1219""]],[[""2024-10-01"",""123.2987""],[""2025-01-01"",""155.9427""]],[[""2023-10-01"",""108.8900""],[""2024-01-01"",""121.5200""]],[[""2024-07-01"",""142.4783""],[""2024-10-01"",""146.2819""]]]","[""聯發科"", ""Qualcomm"", ""Broadcom"", ""台積電"", ""Intel"", ""SK海力士"", ""Micron"", ""NVIDIA"", ""AMD"", ""德儀"", ""英飛凌"", ""意法半導體"", ""恩智浦""]"
"35188","全球-主要半導體公司股價","此圖羅列出全球主要的半導體公司，包括英特爾、高通、輝達、台積電、聯發科、艾司摩爾、應用材料、博通、三星電子、 SK 海力士、東京威力科創和美光。","global-semiconductor-company-stock-prices","[[[""2025-03-03"",""153.6200""],[""2025-03-04"",""154.4600""]],[[""2025-03-03"",""114.0600""],[""2025-03-04"",""115.9900""]],[[""2025-03-03"",""22.7400""],[""2025-03-04"",""21.3300""]],[[""2025-03-03"",""152.1300""],[""2025-03-04"",""152.8700""]],[[""2025-03-03"",""699.8600""],[""2025-03-04"",""708.2200""]],[[""2025-03-03"",""90.5400""],[""2025-03-04"",""91.2000""]],[[""2025-03-03"",""1470.0000""],[""2025-03-04"",""1505.0000""]],[[""2025-03-04"",""1000.0000""],[""2025-03-05"",""1020.0000""]],[[""2025-02-28"",""54500.0000""],[""2025-03-04"",""54500.0000""]],[[""2025-02-28"",""190200.0000""],[""2025-03-04"",""186100.0000""]]]","[""高通(L1)"", ""博通(L1)"", ""輝達(L1)"", ""英特爾(L1)"", ""應用材料(L1)"", ""艾司摩爾(L1)"", ""美光(L1)"", ""聯發科(L2)"", ""台積電(L2)"", ""三星電子(R1)"", ""SK海力士(R1)""]"
"35189","台灣-電子外銷訂單","台灣作為全球半導體的重鎮之一，電子產品及資通訊產品的外銷訂單可做為判斷半導體產業景氣的重要指標之一，為電子零組件出口的領先指標。","tw-export-orders-information-communication-electronic-products","[[[""2025-01-01"",29774],[""2025-02-01"",33404]],[[""2025-01-01"",-5.039229444409007],[""2025-02-01"",41.17746502683741]],[[""2025-01-01"",""3.1300""],[""2025-02-01"",""24.5900""]]]","[""台灣-外銷訂單-資通訊加電子產品(L)"", ""台灣-外銷訂單-資通訊加電子產品(年增率,R)"", ""台灣-出口額-電子零組件(年增率,R)""]"
"35223","美國-投資等級公司債ETF","美國主要投資等級公司債 ETF 股價走勢圖。

1.  iShares iBoxx $ Investment Grade Corporate Bond ETF（LQD） : 投資債券品種橫跨不同天期的投資等級公司債。

2. Vanguard Long-Term Corporate Bond ETF（VCLT） :專注在投資長天期投資等級公司債。

3. Vanguard Short-Term Corporate Bond ETF（VCSH） : 專注在投資短天期投資等級公司債。","etf-us-investment-grade-etf","[[[""2025-04-23"",""106.3300""],[""2025-04-24"",""107.4200""]],[[""2025-04-23"",""73.2600""],[""2025-04-24"",""74.1900""]],[[""2025-04-23"",""78.4800""],[""2025-04-24"",""78.8000""]],[[""2025-04-24"",""4.3139""],[""2025-04-25"",""4.2690""]]]","[""iShares-iBoxx投資等級公司債券ETF[LQD]"", ""Vanguard-長期公司債券ETF[VCLT]"", ""Vanguard-短期公司債券ETF[VCSH]""]"
"35226","OPEC海灣國家-原油生產量","石油輸出國組織（OPEC）之中，位於中東波斯灣地區的五大成員國 - 沙烏地阿拉伯、伊拉克、伊朗、阿聯酋、科威特，上述五國合計的探明儲量（proved reserves）接近全球五成，產量則是接近整體 OPEC 八成，能夠左右全球石油供給。","opec-persian-gulf-region-oil-production","[[[""2025-01-01"",""9.0000""],[""2025-02-01"",""8.9000""]],[[""2025-01-01"",""4.3000""],[""2025-02-01"",""4.2200""]],[[""2025-01-01"",""2.9100""],[""2025-02-01"",""2.9300""]],[[""2025-01-01"",""2.4200""],[""2025-02-01"",""2.4500""]],[[""2025-01-01"",""3.4000""],[""2025-02-01"",""3.4500""]]]","[""沙烏地阿拉伯"", ""伊拉克"", ""阿聯酋"", ""科威特"", ""伊朗""]"
"35227","美國-高收益公司債ETF","美國主要高收益公司債 ETF 股價走勢圖

1.  SPDR Bloomberg Barclays High Yield Bond ETF（JNK） : 專注投資美國高收益公司債券。

2.  iShares iBoxx $ High Yield Corporate Bond ETF（HYG）:專注投資美國高收益公司債債券。

3.  iShares Broad USD High Yield Corporate Bond ETF（USHY）：規模相較上述兩個 ETF 小，不過擁有較便宜的管理費。","usl-high-yield-bond-etf","[[[""2025-04-09"",""93.6900""],[""2025-04-10"",""92.1700""]],[[""2025-04-09"",""77.7800""],[""2025-04-10"",""76.5100""]],[[""2025-04-09"",""36.2100""],[""2025-04-10"",""35.6100""]]]","[""SPDR-彭博巴克萊高收益債ETF[JNK]"", ""iShares-iBoxx高收益公司債券ETF[HYG]"", ""iShares-美元高收益公司債券ETF[USHY]""]"
"35288","ETFMG-Breakwave散裝乾貨海運ETF[BDRY]","發行商 : ETF Manager Group
追蹤標的：Breakwave Dry Freight Futures Index
管理費：3.32%

Breakwave 散裝乾貨海運 ETF 追蹤散裝乾貨海運期貨價格的每日變化，透過持有 1 ~ 6 個月散裝乾貨期貨合約，組成平均三個月到期的期貨投資組合，配置權重為 50% 海岬型指數（Capesize）、40% 巴拿馬型指數（Panamax）、10% 輕便極限型指數（Supramax）。","etf-bdry","[[[""2024-09-26"",""10.7200""],[""2024-09-27"",""10.4500""]]]","[""ETFMG-Breakwave散裝乾貨海運ETF[BDRY]""]"
"35303","美國-電子與電腦產品存貨出貨比vs.半導體銷售","美國電子與電腦產品的存貨與出貨比率（Inventory-to-Sales Ratio）和半導體銷售可用來觀察目前半導體或電子產業的週期波動，當存貨 / 出貨下滑時，代表市場需求熱絡或好轉，半導體銷售樂觀，進入補庫存循環；反之則代表需求轉淡，銷售下滑，進入被動去庫存循環。","us-computers-electronic-products-inventory-to-shipment-vs-semiconductor","[[[""2024-08-01"",""43.8900""],[""2024-09-01"",""46.2800""]],[[""2024-08-01"",0],[""2024-09-01"",0]]]","[""美國-半導體銷售金額(3MMA,年增率,L)"", ""美國-電腦與電子產品-存貨出貨比(年增率,R)""]"
"113296","台灣-電腦及周邊設備業類-毛利率vs.庫存天數","電腦及周邊設備產業包括電腦 / 筆電及相關周邊設備、平板、顯卡、網路設備（路由器、交換器等）、伺服器等等。產業毛利率和庫存天數可觀察行業的庫存周期波動以及利潤變化。","computer-gross-margin","[[[""2024-04-01"",""24.1600""],[""2024-07-01"",""23.9700""]],[[""2024-04-01"",""60.7900""],[""2024-07-01"",""56.5500""]]]","[""台灣-電腦及周邊設備業類-毛利率(L)"", ""台灣-電腦及週邊設備業類-庫存天數(R)""]"
"35311","美國-債市總報酬指數","美林公司債收益指數為追蹤美國市場公開發行公司債券總報酬表現，債券納入標準包含信用評等等級、債券投資期、和相關付息條件等。

其中美林投資等級指數總報酬指數（ICE BofA US Corporate Index Total Return Index Value）為追蹤信用評等為投資等級以上的美國公司債券；美林高收益指數總報酬指數（ICE BofA US High Yield Index Total Return Index Value）則追蹤投資評等以下的美國公司債券。

兩者由於信用評級、平均的債券存續期間（分別代表債券的信用風險和利率風險）曝險程度不同，因此在價格波動和總報酬的表現上略有不同。","us-corporate-debt-total-return-index","[[[""2025-04-27"",""99.7500""],[""2025-04-28"",""99.6600""]],[[""2025-04-24"",""513.3802""],[""2025-04-25"",""515.4810""]],[[""2025-04-23"",""3362.0400""],[""2025-04-24"",""3381.1800""]]]","[""美國-S&P10年公債總報酬指數"", ""美國-美林投資等級指數總報酬指數"", ""美國-美林高收益指數總報酬指數""]"
"35320","美國-信用風險利差vs.公司債總報酬指數","MM 信用風險利差 ＝ 各評級債券殖利率 - 美國 10 年期政府公債殖利率（代表無風險利率），此指標反映市場對各評級企業違約風險的預期。

當企業經營狀況良好時，未來現金流量成長，違約率預期降低（信用風險降低），信用利差下降；當違約預期提升時，信用風險利差擴大。信用風險利差與公司債價格存在反向關係。當信用風險利差攀升時，不利公司債資產，特別是信評水準較低的高收債。","us-credit-spread","[[[""2025-04-22"",""9.8601""],[""2025-04-23"",""9.4359""]],[[""2025-04-21"",1.2645],[""2025-04-22"",1.2602000000000002]],[[""2025-04-21"",0.45450000000000035],[""2025-04-22"",0.4702000000000002]],[[""2025-04-17"",""3361.6600""],[""2025-04-21"",""3343.1800""]],[[""2025-04-22"",""1717.7900""],[""2025-04-23"",""1729.4300""]]]","[""美國-CCC級信用風險利差"", ""美國-BBB級信用風險利差"", ""美國-AAA級信用風險利差"", ""美國-美林投資等級指數總報酬指數"", ""美國-美林高收益指數總報酬指數""]"
"35325","美國-市場利率vs.公司債總報酬指數","央行基準利率和長天期的公債殖利率為債券資產的定價基礎，當利率下降則有利債券的價格，反之亦然。

通常在央行降息的情況下，若伴隨著基本面復甦，是最適合投資公司債的情境；而若央行做出升息動作，則公司債報酬則較為平緩（投等債尤其明顯），但出現顯著下跌的機會不高，主因為信用上的保護。

須特別留意的是，若是在經濟衰退的初期，仍可能發生市場利率與公司債報酬同步向下的窘境，主因同樣是當時企業信用違約風險增加。","target-rate","[[[""2025-02-09"",""4.3300""],[""2025-02-16"",""4.3300""]],[[""2025-02-23"",""4.4400""],[""2025-02-24"",""4.4390""]],[[""2025-02-19"",""3362.9600""],[""2025-02-20"",""3367.0900""]],[[""2025-02-19"",""1748.1400""],[""2025-02-20"",""1749.7800""]]]","[""美國-基準利率(L)"", ""美國-10年期公債殖利率(L)"", ""美國-美林投資等級指數總報酬指數(R)"", ""美國-美林高收益指數總報酬指數(R)""]"
"35346","全球-半導體相關ETF","全球主要與半導體相關的 ETF，前十大持股明細如下：

1. FTXL：德儀、 Marvell 、 Synaptics 、 Amkor 、 Micron 、應用材料、 Intel 、 Entegris 、 KLA 、 Qorvo。

2. PSI：應用材料、 Lam 、德儀、 Analog 、 Broadcom 、 Qualcomm 、 AMD 、 Micron 、 Camtek 、 Brooks Automation。

3. SOXX：NVIDIA 、德儀、 Broadcom 、 Qualcomm 、 Intel 、應用材料、 NXP 、 Lam 、 ASML 、 Analog。

4. XSD：NVIDIA 、 Lattice 、 Maxim 、 NXP 、 Analog 、德儀、 Microchip 、 MaxLinear 、 Qorvo 、 Broadcom。

5. SMH：台積電、 NVIDIA 、 ASML 、 Intel 、 Lam 、德儀、應用材料、 Broadcom 、 Qualcomm 、 NXP。","semiconductor-etf","[[[""2024-10-30"",""91.6400""],[""2024-10-31"",""88.1300""]],[[""2024-10-30"",""56.8000""],[""2024-10-31"",""54.3100""]],[[""2024-10-30"",""227.0700""],[""2024-10-31"",""218.2600""]],[[""2024-10-30"",""241.7500""],[""2024-10-31"",""229.4900""]],[[""2024-10-30"",""250.6800""],[""2024-10-31"",""241.6800""]]]","[""First Trust-納斯達克半導體ETF[FTXL]"", ""Invesco-動態半導體ETF[PSI]"", ""iShares-費城交易所半導體ETF[SOXX]"", ""SPDR-標普半導體ETF[XSD]"", ""VanEck-Vectors半導體ETF[SMH]""]"
"35378","美國-五大主要港口貨櫃吞吐量","美國前五大主要港口分別為洛杉磯港、長灘港、紐約與紐澤西港、薩瓦納港、西北海港聯盟（西雅圖港 + 塔可瑪港），2020 年合計處理超過 3000 萬個 20 呎標準貨櫃（TEU），約佔美國海運貨物的七成。其中，又以位於美國西岸的加州洛杉磯、長灘作為亞洲貨物的主要進口港，佔比近四成。","us-five-major-ports-by-teu-volume","[[[""2024-01-01"",10297352.25],[""2025-01-01"",2504048.7]],[[""2024-01-01"",9649726],[""2025-01-01"",2535575]],[[""2024-01-01"",8697767],[""2025-01-01"",1419987]],[[""2024-01-01"",5545558],[""2025-01-01"",1432064]],[[""2024-01-01"",3340733.34],[""2025-01-01"",832567.82]]]","[""洛杉磯港"", ""長灘港"", ""紐約與紐澤西港"", ""薩瓦納港"", ""西北海港聯盟""]"
"35379","美國-洛杉磯港-貨櫃吞吐量","洛杉磯港為全美、美國西岸貨櫃港口中貨物吞吐量最大者，2020 年合計處理超過 900 萬個 20 呎標準貨櫃 （TEU），佔美國海運貨物超過二成。","port-of-los-angeles-monthly-container-counts","[[[""2025-01-01"",""924245.0000""],[""2025-02-01"",""801398.0000""]],[[""2025-01-01"",8.016422091076008],[""2025-02-01"",2.5547771718690067]]]","[""洛杉磯港-貨櫃吞吐量(L)"", ""洛杉磯港-貨櫃吞吐量(年增率,R)""]"
"35380","美國-長灘港-貨櫃吞吐量","長灘港為全美、美國西岸貨櫃港口中貨物吞吐量第二大港，僅次於洛杉磯港，2020 年合計處理超過 800 萬個 20 呎標準貨櫃（TEU），佔美國海運貨物的二成。","port-of-long-beach-monthly-container-counts","[[[""2025-02-01"",""765385.0000""],[""2025-03-01"",""817457.0000""]],[[""2025-02-01"",13.436921521868975],[""2025-03-01"",24.977755082696053]]]","[""長灘港-貨櫃吞吐量(L)"", ""長灘港-貨櫃吞吐量(年增率,R)""]"
"35381","美國-紐約與紐澤西港-貨櫃吞吐量","紐約與紐澤西港為全美第三、美國東岸第一的貨櫃港口，2020 年合計處理超過 750 萬個 20 呎標準貨櫃 （TEU），約佔美國海運貨物 15% 。","port-of-new-york-and-new-jersey-monthly-container-counts","[[[""2024-07-01"",""806015.0000""],[""2024-08-01"",""790891.0000""]],[[""2024-07-01"",13.693780106779888],[""2024-08-01"",-1.876391878563054]]]","[""紐約與紐澤西港-貨櫃吞吐量(L)"", ""紐約與紐澤西港-貨櫃吞吐量(年增率,R)""]"
